50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.989084,,,,,,,,,,,,,,,b8d55d4b-37dc-4491-ad9c-baa235eec9df,189,,"[98.7, 19.8]",3869685,4,,,,2.881963,545c2c84-018f-4570-a01c-753823feaeac,Right Foot,,,"[92.3, 21.5]",,Ground Pass,,6.6219335,,,Alexis Mac Allister,27886.0,True,,,,Recovery,1,Regular Play,Julián Álvarez,29560.0,Center Forward,14,Argentina,779,"['23fc241e-f99f-4f0a-9fc7-8526f1eadf67', 'ebc80f8e-fddc-4237-868f-1c2128db484a']",38,,,,,,,,,,,,,,,,,Argentina,779,00:04:38.391,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23fc241e-f99f-4f0a-9fc7-8526f1eadf67,190,,"[92.3, 21.5]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Mac Allister,27886.0,Left Center Midfield,14,Argentina,779,['b8d55d4b-37dc-4491-ad9c-baa235eec9df'],39,,,,,,,,,,,,,,,,,Argentina,779,00:04:39.381,Ball Receipt*,
,,,,,,,"[92.4, 30.0]",,,,,,,,,,,,,1.417915,,,,,,,,,,,,,,,a7c22034-cfb3-4bef-ac69-6d913b3ccea6,191,,"[92.3, 21.5]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Mac Allister,27886.0,Left Center Midfield,14,Argentina,779,"['23fc241e-f99f-4f0a-9fc7-8526f1eadf67', '545c2c84-018f-4570-a01c-753823feaeac']",39,,,,,,,,,,,,,,,,,Argentina,779,00:04:39.381,Carry,
,,,,,,,,,,,,,,,,,,,,0.94819,,,,,,,,,,,,,,,545c2c84-018f-4570-a01c-753823feaeac,192,,"[92.4, 30.0]",3869685,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Mac Allister,27886.0,Left Center Midfield,14,Argentina,779,['109b23ae-6cc9-49d7-888c-0ef1302b8abd'],40,,Right Foot,"[117.3, 38.3, 0.8]",,"[{'location': [101.0, 48.0], 'player': {'id': 6704, 'name': 'Theo Bernard François Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.8, 36.1], 'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 26.7], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 21.4], 'player': {'id': 4445, 'name': 'Jules Koundé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.6, 27.9], 'player': {'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.5, 40.3], 'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.1, 26.9], 'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.4, 38.5], 'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [77.7, 59.4], 'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [84.2, 29.2], 'player': {'id': 38718, 'name': 'Enzo Fernandez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [84.1, 39.5], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [93.6, 52.5], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.5, 23.7], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.1, 12.6], 'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",b8d55d4b-37dc-4491-ad9c-baa235eec9df,,Saved,0.024542088,Normal,Open Play,,,,,,Argentina,779,00:04:40.798,Shot,
